Dấu thời gian,Bạn đánh dấu những khung giờ mà bản thân trong trạng thái ngủ nhé,Tuổi hiện tại của bạn (chỉ điền số giúp chúng mình nha)?,Bạn có hài lòng với khung giờ ngủ hiện tại không?,Sức khoẻ của bạn đang ở mức nào?
30/09/2021 9:52:28,"1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h",20,Không,Tệ
30/09/2021 9:55:40,"23h - 1h, 1h - 3h, 3h - 5h, 11h - 13h",20,Có,Rất tốt
30/09/2021 9:57:11,21h - 23h,21,Có,Rất tốt
30/09/2021 9:58:00,"1h - 3h, 3h - 5h, 5h - 7h",20,Có,Bình thường
30/09/2021 9:59:04,"1h - 3h, 3h - 5h, 5h - 7h, 11h - 13h, 19h - 21h",21,Không,Bình thường
30/09/2021 10:00:32,"3h - 5h, 15h - 17h",21,Không,Bình thường
30/09/2021 10:04:17,23h - 1h,21,Có,Bình thường
30/09/2021 10:05:43,"1h - 3h, 3h - 5h, 5h - 7h",Stephen Nguyễn,Có,Bình thường
30/09/2021 10:06:15,"23h - 1h, 1h - 3h",21,Có,Tốt
30/09/2021 10:07:47,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h",20,Có,Bình thường
30/09/2021 10:08:31,5h - 7h,23,Không,Bình thường
30/09/2021 10:09:18,"23h - 1h, 1h - 3h, 3h - 5h, 11h - 13h, 21h - 23h",33,Có,Tốt
30/09/2021 10:16:05,"1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h, 9h - 11h",20,Có,Tốt
30/09/2021 10:27:03,23h - 1h,24,Có,Bình thường
30/09/2021 10:39:48,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h",20 tuổi,Không,Bình thường
30/09/2021 10:46:53,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 21h - 23h",21,Có,Tốt
30/09/2021 10:58:29,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 11h - 13h",20,Có,Bình thường
30/09/2021 11:01:33,"1h - 3h, 3h - 5h, 5h - 7h",20,Có,Tốt
30/09/2021 11:09:33,"23h - 1h, 13h - 15h",20,Không,Bình thường
30/09/2021 11:35:29,"1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h",21,Không,Bình thường
30/09/2021 12:08:54,"1h - 3h, 3h - 5h, 5h - 7h",18,Có,Bình thường
30/09/2021 12:10:05,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h, 15h - 17h",18,Không,Rất tốt
30/09/2021 12:49:07,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h",20,Có,Rất tốt
30/09/2021 13:02:49,3h - 5h,20,Có,Tốt
30/09/2021 15:04:26,"1h - 3h, 11h - 13h",20,Có,Bình thường
30/09/2021 16:18:04,1h - 3h,19,Không,Bình thường
30/09/2021 16:37:32,"1h - 3h, 3h - 5h, 5h - 7h",20,Có,Bình thường
30/09/2021 16:41:31,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h",22,Không,Tốt
30/09/2021 16:41:35,"1h - 3h, 3h - 5h, 15h - 17h",20,Có,Tốt
30/09/2021 16:43:51,"23h - 1h, 13h - 15h",22,Không,Bình thường
30/09/2021 16:44:59,"1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h, 9h - 11h",21,Không,Rất tốt
30/09/2021 16:47:02,"1h - 3h, 3h - 5h, 5h - 7h",20,Có,Bình thường
30/09/2021 16:49:35,"5h - 7h, 7h - 9h, 13h - 15h",22,Có,Tệ
30/09/2021 17:01:59,"1h - 3h, 3h - 5h, 9h - 11h",19,Có,Tệ
30/09/2021 17:36:46,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",24,Có,Bình thường
30/09/2021 17:42:22,"1h - 3h, 3h - 5h, 5h - 7h",25,Không,Tệ
30/09/2021 17:42:56,"1h - 3h, 3h - 5h, 5h - 7h, 11h - 13h",20,Không,Bình thường
30/09/2021 17:43:53,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h",20,Có,Tốt
30/09/2021 19:15:53,"5h - 7h, 7h - 9h",40,Có,Rất tốt
30/09/2021 19:31:51,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h",15 tuổi ạ,Có,Tốt
30/09/2021 19:38:11,"1h - 3h, 3h - 5h, 5h - 7h",22,Có,Tốt
30/09/2021 19:39:59,"3h - 5h, 5h - 7h, 13h - 15h, 15h - 17h, 17h - 19h",17,Không,Tệ
30/09/2021 19:47:20,"3h - 5h, 5h - 7h, 13h - 15h",20,Không,Bình thường
30/09/2021 19:54:09,"23h - 1h, 11h - 13h",20,Có,Bình thường
30/09/2021 20:01:48,"1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",20,Có,Bình thường
30/09/2021 20:10:14,"23h - 1h, 1h - 3h, 21h - 23h",19,Không,Bình thường
30/09/2021 20:28:54,23h - 1h,21,Có,Bình thường
30/09/2021 20:42:20,"3h - 5h, 5h - 7h, 7h - 9h, 9h - 11h, 11h - 13h, 13h - 15h, 17h - 19h",20,Không,Bình thường
30/09/2021 20:46:17,"1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",16,Không,Bình thường
30/09/2021 21:18:35,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h",22,Có,Bình thường
30/09/2021 21:33:59,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h",18,Có,Bình thường
30/09/2021 21:43:05,"23h - 1h, 13h - 15h, 21h - 23h",40,Có,Bình thường
30/09/2021 21:53:17,23h - 1h,20,Có,Bình thường
30/09/2021 22:01:12,"1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",20,Có,Tốt
01/10/2021 0:06:49,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 11h - 13h, 13h - 15h, 21h - 23h",20,Có,Tốt
01/10/2021 1:27:00,"1h - 3h, 13h - 15h",21,Không,Bình thường
01/10/2021 6:11:03,"1h - 3h, 3h - 5h, 5h - 7h",20,Không,Tốt
01/10/2021 7:10:11,5h - 7h,21,Có,Tốt
01/10/2021 8:36:06,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",20,Có,Bình thường